Protein Id,Gene Symbol,Description,Group ID,Set2 Peptides,Set2~rq_126_sn_sum,Set2~rq_127n_sn_sum,Set2~rq_127c_sn_sum,Set2~rq_128n_sn_sum,Set2~rq_128c_sn_sum,Set2~rq_129n_sn_sum,Set2~rq_129c_sn_sum,Set2~rq_130n_sn_sum,Set2~rq_130c_sn_sum,Set2~rq_131_sn_sum
sp|O76031|CLPX_HUMAN,CLPX,"CLPX_HUMAN ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",13,34,4852.79,2663.41,4905.75,3786.48,5312.08,4117.41,5217.92,3257.05,2511.45,4016.57
sp|O15265-2|ATX7_HUMAN,ATXN7,ATX7_HUMAN Isoform b of Ataxin-7,14,8,2029.56,745.512,870.446,1196.35,1322.54,1007.34,1203.37,1075.21,758.603,1184.79
sp|Q8WUQ7-2|CATIN_HUMAN,CACTIN,CATIN_HUMAN Isoform 2 of Cactin,15,11,1058.08,1449.43,978.417,1028.48,1188.12,969.155,1317.31,1212.36,1306.04,1408.63
sp|A6NIH7|U119B_HUMAN,UNC119B,U119B_HUMAN Protein unc-119 homolog B,16,6,513.86,628.379,1050.8,528.798,469.859,447.447,663.184,315.368,417.542,437.546
sp|Q13432|U119A_HUMAN,UNC119,U119A_HUMAN Protein unc-119 homolog A,16,2,118.852,393.195,207.685,282.732,223.641,353.874,373.387,112.38,213.312,286.009
sp|Q9BTD8|RBM42_HUMAN,RBM42,RBM42_HUMAN RNA-binding protein 42,17,22,2310.61,3056.43,1268.23,2079.63,1814.96,2670.35,2528.01,2696.24,1960.23,1994.45
sp|Q9P258|RCC2_HUMAN,RCC2,RCC2_HUMAN Protein RCC2,18,39,2648.47,4373.98,4695.44,244.447,6015.2,4870.57,5568.0,2262.04,3606.68,4305.04
sp|Q9H3U1|UN45A_HUMAN,UNC45A,UN45A_HUMAN Protein unc-45 homolog A,19,51,4509.81,4877.84,7805.68,5918.37,5993.96,3726.76,4693.55,4415.15,5127.88,5328.76
sp|Q9P2E5|CHPF2_HUMAN,CHPF2,CHPF2_HUMAN Chondroitin sulfate glucuronyltransferase,20,13,2174.72,1258.51,659.671,1092.05,696.795,1010.84,1696.36,1440.83,1325.85,1714.58
sp|Q9P2K1|C2D2A_HUMAN,CC2D2A,C2D2A_HUMAN Coiled-coil and C2 domain-containing protein 2A,21,1,112.312,105.702,40.5927,218.61,51.0018,27.3851,153.063,70.5003,160.944,95.0725
sp|Q99523|SORT_HUMAN,SORT1,SORT_HUMAN Sortilin,22,15,1928.58,449.74,1292.29,121.252,2424.81,3642.58,1756.1,1079.84,1319.29,1622.49
sp|Q9Y2U8|MAN1_HUMAN,LEMD3,MAN1_HUMAN Inner nuclear membrane protein Man1,23,23,2053.42,700.858,1980.35,968.412,1987.26,1564.24,2189.6,2497.07,1968.81,1893.99
sp|Q96CC6|RHDF1_HUMAN,RHBDF1,RHDF1_HUMAN Inactive rhomboid protein 1,24,6,342.741,243.566,638.493,480.892,694.511,325.883,427.51,488.603,111.946,296.48
sp|P30044|PRDX5_HUMAN,PRDX5,"PRDX5_HUMAN Peroxiredoxin-5, mitochondrial",25,31,4217.51,5190.21,5860.46,12411.3,4680.48,5302.05,3597.61,3938.8,4677.6,3462.51
sp|Q15596|NCOA2_HUMAN,NCOA2,NCOA2_HUMAN Nuclear receptor coactivator 2,26,12,1320.23,1320.82,1960.95,2010.19,2597.65,1298.99,1300.28,1342.59,1248.59,989.274
sp|Q9Y6Q9|NCOA3_HUMAN,NCOA3,NCOA3_HUMAN Nuclear receptor coactivator 3,26,12,532.218,1170.59,802.762,896.552,1757.35,1254.7,1087.36,1099.61,1252.13,1921.63
sp|Q15788|NCOA1_HUMAN,NCOA1,NCOA1_HUMAN Nuclear receptor coactivator 1,26,2,67.2392,154.601,96.5289,107.779,137.019,203.331,90.1473,102.633,84.0386,86.3749
sp|Q53GG5-2|PDLI3_HUMAN,PDLIM3,PDLI3_HUMAN Isoform 2 of PDZ and LIM domain protein 3,27,4,46.4824,535.82,401.334,92.3413,35.2767,100.008,106.617,62.5534,805.471,218.857
sp|Q9UPT8|ZC3H4_HUMAN,ZC3H4,ZC3H4_HUMAN Zinc finger CCCH domain-containing protein 4,28,26,2944.53,1769.82,2807.18,2287.12,2818.22,3245.09,2333.78,2971.74,2742.02,2911.32
sp|Q68DK7|MSL1_HUMAN,MSL1,MSL1_HUMAN Male-specific lethal 1 homolog,29,12,1571.35,537.101,442.301,412.673,529.512,586.637,925.612,744.416,777.749,879.899
sp|Q96L91|EP400_HUMAN,EP400,EP400_HUMAN E1A-binding protein p400,30,32,5386.38,3187.68,2827.76,2320.87,3145.38,3366.1,4622.43,4609.67,2572.01,3875.67
sp|Q6ZTU2-6|E400N_HUMAN,EP400NL,E400N_HUMAN Isoform 5 of EP400 N-terminal-like protein,30,1,60.0286,39.4888,35.3759,81.8109,74.0902,38.8223,60.6877,70.5399,51.6456,69.2662
sp|P52701|MSH6_HUMAN,MSH6,MSH6_HUMAN DNA mismatch repair protein Msh6,31,74,4559.79,7545.87,5185.96,11041.7,10426.6,11534.5,11433.6,6151.86,6453.31,5668.96
sp|P20585|MSH3_HUMAN,MSH3,MSH3_HUMAN DNA mismatch repair protein Msh3,31,26,2632.62,1922.68,2283.16,3498.48,3454.72,2129.5,4183.63,2245.74,2692.29,2366.84
sp|A1X283|SPD2B_HUMAN,SH3PXD2B,SPD2B_HUMAN SH3 and PX domain-containing protein 2B,32,27,610.575,7854.59,545.532,6526.94,490.623,4450.74,1186.62,1392.6,685.729,1502.85
sp|Q5TCZ1|SPD2A_HUMAN,SH3PXD2A,SPD2A_HUMAN SH3 and PX domain-containing protein 2A,32,7,465.648,3718.81,771.798,2018.57,145.333,1890.48,1017.65,1213.25,382.168,958.254
sp|Q9NRL3|STRN4_HUMAN,STRN4,STRN4_HUMAN Striatin-4,33,15,1348.09,858.849,1459.71,1034.46,1274.07,1099.42,1309.54,870.009,1315.62,1118.21
sp|O43815|STRN_HUMAN,STRN,STRN_HUMAN Striatin,33,32,3535.39,3151.28,3285.14,2958.35,2609.02,4260.96,2892.77,4086.53,1827.37,2795.52
sp|Q13033-2|STRN3_HUMAN,STRN3,STRN3_HUMAN Isoform Alpha of Striatin-3,33,13,1407.85,1173.84,1836.84,1460.27,1395.33,825.494,1380.09,605.398,1018.15,1139.06
sp|Q9BQE4|SELS_HUMAN,VIMP,SELS_HUMAN Selenoprotein S,34,13,1316.89,1029.67,1944.25,734.242,938.584,1082.37,634.755,1107.79,562.929,737.631
sp|Q8WWH5|TRUB1_HUMAN,TRUB1,TRUB1_HUMAN Probable tRNA pseudouridine synthase 1,35,14,1247.12,1226.16,2120.54,2858.69,1505.5,934.336,1698.45,818.135,1469.43,1459.93
sp|O95602|RPA1_HUMAN,POLR1A,RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1,36,58,5822.77,5269.29,3505.62,8540.79,3271.37,3949.29,9024.24,4974.15,7468.75,6129.01
sp|O14802|RPC1_HUMAN,POLR3A,RPC1_HUMAN DNA-directed RNA polymerase III subunit RPC1,36,38,2725.35,4015.74,3569.89,7136.24,7105.68,3734.57,2831.05,3444.91,4602.21,5526.39
sp|O60518|RNBP6_HUMAN,RANBP6,RNBP6_HUMAN Ran-binding protein 6,37,23,3035.35,3241.12,1237.77,8047.44,1219.48,437.409,2719.35,3949.98,3762.43,1818.61
sp|O00410-3|IPO5_HUMAN,IPO5,IPO5_HUMAN Isoform 3 of Importin-5,37,63,3562.39,9742.57,7117.39,7946.01,2691.93,6175.43,6860.37,3277.8,7062.15,4225.71
sp|O95625|ZBT11_HUMAN,ZBTB11,ZBT11_HUMAN Zinc finger and BTB domain-containing protein 11,38,12,871.228,574.124,712.503,772.779,637.867,701.153,707.858,461.674,517.653,812.325
sp|Q96D53|ADCK4_HUMAN,ADCK4,ADCK4_HUMAN Uncharacterized aarF domain-containing protein kinase 4,39,15,2353.73,621.54,1282.89,1114.59,1823.12,2151.99,1939.4,1289.37,486.587,1130.04
sp|Q96GQ5|CP058_HUMAN,C16orf58,CP058_HUMAN UPF0420 protein C16orf58,40,11,825.948,1072.28,2030.62,1210.74,1431.64,972.145,607.118,715.778,651.381,897.63
sp|Q8N8D1|PDCD7_HUMAN,PDCD7,PDCD7_HUMAN Programmed cell death protein 7,41,4,411.158,209.002,214.663,248.465,300.887,324.201,231.4,168.657,195.352,234.712
sp|P59768|GBG2_HUMAN,GNG2,GBG2_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,42,1,15.2743,1249.88,14.2949,48.0906,3.61801,7.26003,90.7906,247.125,52.7449,79.3109
sp|O95159|ZFPL1_HUMAN,ZFPL1,ZFPL1_HUMAN Zinc finger protein-like 1,43,13,942.965,1192.45,1965.21,1308.22,1875.96,1974.76,1125.44,2112.19,1228.69,1686.39
sp|Q6P2E9|EDC4_HUMAN,EDC4,EDC4_HUMAN Enhancer of mRNA-decapping protein 4,45,57,4346.54,6472.16,8485.44,3189.21,8675.05,4720.94,4929.47,3776.46,4480.11,4023.73
sp|Q9UNF1|MAGD2_HUMAN,MAGED2,MAGD2_HUMAN Melanoma-associated antigen D2,46,39,5829.71,4249.24,6564.31,3166.78,2044.6,3344.33,2206.58,1968.09,3235.72,2752.78
sp|Q9Y5V3-2|MAGD1_HUMAN,MAGED1,MAGD1_HUMAN Isoform 2 of Melanoma-associated antigen D1,46,14,481.984,1634.43,2106.96,1010.19,627.832,321.984,998.172,584.64,776.087,669.313
sp|Q12816|TROP_HUMAN,TRO,TROP_HUMAN Trophinin,46,4,657.159,704.277,1154.68,428.112,324.5,278.084,453.129,281.073,443.03,339.537
sp|Q9NZQ3|SPN90_HUMAN,NCKIPSD,SPN90_HUMAN NCK-interacting protein with SH3 domain,47,6,361.068,209.123,287.032,487.245,622.092,459.996,445.515,308.025,590.847,364.416
sp|Q96QE3|ATAD5_HUMAN,ATAD5,ATAD5_HUMAN ATPase family AAA domain-containing protein 5,48,19,1717.16,1408.28,1457.13,1302.73,2287.73,1649.83,4324.53,2448.52,1867.3,1901.58
sp|Q9NQP4|PFD4_HUMAN,PFDN4,PFD4_HUMAN Prefoldin subunit 4,49,8,335.657,1623.83,580.307,1254.44,564.933,789.183,486.772,347.978,1017.68,933.392
sp|O95551-2|TYDP2_HUMAN,TDP2,TYDP2_HUMAN Isoform 2 of Tyrosyl-DNA phosphodiesterase 2,50,7,341.704,528.472,295.898,502.745,392.574,1440.97,725.916,318.283,569.218,633.823
sp|O15357|SHIP2_HUMAN,INPPL1,"SHIP2_HUMAN Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",51,38,1493.7,4742.95,2256.48,3052.83,5355.44,2556.5,4993.54,1186.87,5049.48,3104.33
sp|Q6UW63|KDEL1_HUMAN,KDELC1,KDEL1_HUMAN KDEL motif-containing protein 1,51,9,409.936,1627.77,263.503,1926.07,278.001,589.46,2375.36,472.509,798.044,672.529
sp|Q9H9Y2|RPF1_HUMAN,RPF1,RPF1_HUMAN Ribosome production factor 1,52,17,1787.88,1036.55,569.085,1625.67,714.789,1319.08,1734.99,1339.27,1470.07,2595.81
sp|Q96P70|IPO9_HUMAN,IPO9,IPO9_HUMAN Importin-9,53,36,3344.84,5961.73,5631.42,3530.28,10835.0,5430.15,5683.32,2283.83,4334.75,4619.54
sp|P30260-2|CDC27_HUMAN,CDC27,CDC27_HUMAN Isoform 2 of Cell division cycle protein 27 homolog,54,21,1719.75,1848.03,2003.21,1660.3,2309.19,1578.75,3869.37,3265.69,1789.71,3578.57
tr|G5EA36|G5EA36_HUMAN,CDC27,"G5EA36_HUMAN Cell division cycle 27, isoform CRA_c",54,1,39.8735,46.3413,38.0491,46.6632,62.5257,38.4353,124.373,87.4691,53.1006,68.39
sp|Q9Y2X3|NOP58_HUMAN,NOP58,NOP58_HUMAN Nucleolar protein 58,55,46,6249.34,3776.01,4636.46,4205.9,6074.46,5055.6,5262.95,5340.06,5455.35,5766.89
sp|O15042|SR140_HUMAN,U2SURP,SR140_HUMAN U2 snRNP-associated SURP motif-containing protein,56,43,6023.14,4047.18,3984.28,2677.21,4029.59,4172.09,4613.03,4602.11,3208.73,4800.22
sp|Q9NP50|FA60A_HUMAN,FAM60A,FA60A_HUMAN Protein FAM60A,57,3,337.89,74.0444,277.578,327.901,169.359,235.727,656.172,372.356,313.901,331.879
sp|A7E2V4-4|ZSWM8_HUMAN,ZSWIM8,ZSWM8_HUMAN Isoform 4 of Zinc finger SWIM domain-containing protein 8,58,10,542.003,885.421,928.401,987.3,753.756,591.712,607.66,468.939,1137.25,802.925
sp|Q01780|EXOSX_HUMAN,EXOSC10,EXOSX_HUMAN Exosome component 10,59,47,5206.86,3790.75,2506.69,5004.78,5639.94,3631.09,6211.64,4276.71,4647.19,5489.18
sp|P02786|TFR1_HUMAN,TFRC,TFR1_HUMAN Transferrin receptor protein 1,60,119,3349.77,6795.74,11332.3,8165.55,15991.3,8169.29,11127.0,26714.9,13662.1,8785.34
sp|Q9UP52|TFR2_HUMAN,TFR2,TFR2_HUMAN Transferrin receptor protein 2,60,3,555.9,1069.31,1903.46,1351.18,2978.7,1455.78,1924.69,4535.98,2257.65,1443.26
sp|P07954|FUMH_HUMAN,FH,"FUMH_HUMAN Fumarate hydratase, mitochondrial",61,95,10230.0,9597.78,7653.48,10792.1,11562.9,10871.5,6550.7,7666.81,8648.32,6249.65
sp|Q9Y490|TLN1_HUMAN,TLN1,TLN1_HUMAN Talin-1,63,217,4556.65,35607.3,14047.8,26870.6,14615.7,46811.5,23192.3,20446.4,14021.6,17379.6
sp|Q9Y4G6|TLN2_HUMAN,TLN2,TLN2_HUMAN Talin-2,63,116,9971.95,13047.0,7856.8,11566.8,21251.5,10194.2,33686.8,5690.41,7410.24,7778.64
sp|P18621-3|RL17_HUMAN,RPL17,RL17_HUMAN Isoform 3 of 60S ribosomal protein L17,63,52,4623.28,6478.56,6135.39,8975.27,7373.38,7710.41,8811.74,6341.41,10678.8,6978.7
sp|O94826|TOM70_HUMAN,TOMM70A,TOM70_HUMAN Mitochondrial import receptor subunit TOM70,64,61,12064.3,5324.91,5194.15,5965.15,6162.19,4704.33,3261.72,5944.03,3488.31,8002.2
sp|P13497|BMP1_HUMAN,BMP1,BMP1_HUMAN Bone morphogenetic protein 1,65,5,220.563,2389.93,217.468,349.573,301.626,572.603,716.75,1285.04,273.7,567.892
sp|O95359-3|TACC2_HUMAN,TACC2,TACC2_HUMAN Isoform 3 of Transforming acidic coiled-coil-containing protein 2,66,20,1459.72,2375.14,2019.22,1660.85,1539.96,2236.07,1964.26,1365.63,1003.23,3162.68
sp|O75410-2|TACC1_HUMAN,TACC1,TACC1_HUMAN Isoform 2 of Transforming acidic coiled-coil-containing protein 1,66,31,3028.97,2587.72,2079.96,701.847,2853.9,1504.12,1039.04,2018.06,3930.38,2046.73
sp|Q9P0V3|SH3B4_HUMAN,SH3BP4,SH3B4_HUMAN SH3 domain-binding protein 4,67,32,5870.5,4836.65,2977.88,2381.9,5104.72,3180.88,6355.87,3118.68,3725.86,4379.39
sp|Q16555|DPYL2_HUMAN,DPYSL2,DPYL2_HUMAN Dihydropyrimidinase-related protein 2,68,41,3451.38,4820.77,1346.21,4498.05,1843.14,5260.69,4972.38,2598.19,10096.4,7432.93
sp|Q14195-2|DPYL3_HUMAN,DPYSL3,DPYL3_HUMAN Isoform LCRMP-4 of Dihydropyrimidinase-related protein 3,68,45,465.171,628.773,554.263,31840.4,615.267,480.184,648.939,443.729,2740.63,4716.36
sp|Q14194-2|DPYL1_HUMAN,CRMP1,DPYL1_HUMAN Isoform LCRMP-1 of Dihydropyrimidinase-related protein 1,68,22,7444.7,957.368,1370.62,7612.26,355.894,609.919,621.356,400.733,1278.62,969.484
sp|O14531|DPYL4_HUMAN,DPYSL4,DPYL4_HUMAN Dihydropyrimidinase-related protein 4,68,9,1800.11,2890.42,91.018,1497.3,110.044,67.3302,118.88,84.3839,479.042,458.856
sp|Q9Y6X3|SCC4_HUMAN,MAU2,SCC4_HUMAN MAU2 chromatid cohesion factor homolog,69,9,1311.67,617.974,686.941,603.508,732.112,809.685,868.386,609.102,731.096,558.031
sp|Q17RC7|EX3L4_HUMAN,EXOC3L4,EX3L4_HUMAN Exocyst complex component 3-like protein 4,70,1,329.911,12.0436,10.191,4.299,6.7677,16.5834,8.14253,10.5268,0.0,11.8228
sp|Q16270|IBP7_HUMAN,IGFBP7,IBP7_HUMAN Insulin-like growth factor-binding protein 7,70,12,40.7,4159.32,52.557,168.268,83.0611,46.3841,3657.02,1362.29,1365.05,4845.58
sp|Q96P11-2|NSUN5_HUMAN,NSUN5,NSUN5_HUMAN Isoform 2 of Putative methyltransferase NSUN5,71,11,1129.81,920.102,1463.65,2787.91,1414.25,1004.39,1051.63,864.83,1638.86,1516.94
tr|F5H1R7|F5H1R7_HUMAN,FLJ22184,F5H1R7_HUMAN Protein FLJ22184,72,6,554.928,127.858,583.902,77.8859,511.029,215.536,495.01,291.486,97.1578,206.651
sp|O95238|SPDEF_HUMAN,SPDEF,SPDEF_HUMAN SAM pointed domain-containing Ets transcription factor,73,2,161.084,18.0165,378.059,25.2693,498.297,217.499,18.8811,16.7986,14.6034,120.802
sp|Q8N4T8|CBR4_HUMAN,CBR4,CBR4_HUMAN Carbonyl reductase family member 4,74,12,4117.94,190.068,1806.22,394.476,1859.67,897.59,751.71,533.401,386.561,659.266
sp|P23381|SYWC_HUMAN,WARS,"SYWC_HUMAN Tryptophan--tRNA ligase, cytoplasmic",75,34,2101.78,6640.93,4353.76,9360.68,5149.46,3129.19,2692.48,1278.08,3954.13,2841.87
sp|P35221-2|CTNA1_HUMAN,CTNNA1,CTNA1_HUMAN Isoform 2 of Catenin alpha-1,76,55,4050.39,790.756,9921.46,3433.97,1522.74,870.813,3698.1,20735.4,5518.07,8374.51
sp|P26232|CTNA2_HUMAN,CTNNA2,CTNA2_HUMAN Catenin alpha-2,76,13,1000.3,659.37,2240.45,920.926,475.911,524.848,894.233,4240.16,1518.83,1816.3
sp|Q96C19|EFHD2_HUMAN,EFHD2,EFHD2_HUMAN EF-hand domain-containing protein D2,77,21,1403.01,3353.06,1697.17,3988.23,1544.3,3164.73,2054.97,4532.52,3990.17,3608.43
sp|Q9BUP0|EFHD1_HUMAN,EFHD1,EFHD1_HUMAN EF-hand domain-containing protein D1,77,15,1890.16,490.418,1473.92,191.11,2117.18,5884.4,2591.94,3514.23,351.098,1024.57
sp|Q9GZT9|EGLN1_HUMAN,EGLN1,EGLN1_HUMAN Egl nine homolog 1,78,15,504.693,1763.35,1475.9,3001.11,2530.45,1925.91,1417.25,872.647,1619.26,1605.11
sp|Q9Y3B7|RM11_HUMAN,MRPL11,"RM11_HUMAN 39S ribosomal protein L11, mitochondrial",79,17,4024.66,1572.18,1634.0,1819.18,2664.52,2158.44,2268.24,2660.52,1658.81,2236.68
sp|Q8WVQ1|CANT1_HUMAN,CANT1,CANT1_HUMAN Soluble calcium-activated nucleotidase 1,80,17,3912.72,2637.75,4600.64,994.838,3463.26,2871.19,1067.69,5828.77,2890.31,3011.98
sp|Q96T51|RUFY1_HUMAN,RUFY1,RUFY1_HUMAN RUN and FYVE domain-containing protein 1,81,26,2437.94,2364.32,1622.67,5235.93,2937.37,3111.15,2192.58,1184.46,3270.58,3106.28
sp|Q8WXA3|RUFY2_HUMAN,RUFY2,RUFY2_HUMAN RUN and FYVE domain-containing protein 2,81,14,1834.35,1482.62,1184.74,1684.15,1146.59,1165.74,912.392,914.888,2307.81,1656.63
sp|P54578|UBP14_HUMAN,USP14,UBP14_HUMAN Ubiquitin carboxyl-terminal hydrolase 14,81,54,2249.53,6730.73,7934.83,9578.42,2663.72,10344.4,4477.67,4567.1,14849.9,4303.14
sp|Q7L099-3|RUFY3_HUMAN,RUFY3,RUFY3_HUMAN Isoform 3 of Protein RUFY3,81,11,1520.74,1286.81,894.34,379.019,639.097,654.798,598.236,406.821,401.179,425.382
sp|Q5VSL9|STRP1_HUMAN,STRIP1,STRP1_HUMAN Striatin-interacting protein 1,82,16,1693.3,1607.18,1819.73,1331.03,1518.68,1922.09,1864.87,1134.02,1593.45,1343.13
sp|Q9ULQ0|STRP2_HUMAN,STRIP2,STRP2_HUMAN Striatin-interacting protein 2,82,5,459.859,233.016,434.747,1400.51,785.364,296.311,337.672,635.913,163.264,327.643
sp|Q9H147|TDIF1_HUMAN,DNTTIP1,TDIF1_HUMAN Deoxynucleotidyltransferase terminal-interacting protein 1,83,9,3857.07,1791.88,48.2055,990.084,1442.38,699.663,1093.33,1284.0,1014.77,1937.48
sp|P17544-6|ATF7_HUMAN,ATF7,ATF7_HUMAN Isoform 6 of Cyclic AMP-dependent transcription factor ATF-7,84,11,1992.95,1102.65,2229.72,1194.28,1804.51,1789.24,2812.55,1840.68,3075.94,2297.19
sp|P15336|ATF2_HUMAN,ATF2,ATF2_HUMAN Cyclic AMP-dependent transcription factor ATF-2,84,8,1016.73,759.769,772.285,889.407,891.927,813.947,1213.01,596.349,629.708,793.982
sp|O14497|ARI1A_HUMAN,ARID1A,ARI1A_HUMAN AT-rich interactive domain-containing protein 1A,85,62,8821.74,5569.12,6852.31,4032.25,9598.47,6419.25,1130.83,6770.11,2918.63,6442.18
sp|Q8NFD5-3|ARI1B_HUMAN,ARID1B,ARI1B_HUMAN Isoform 3 of AT-rich interactive domain-containing protein 1B,85,29,5443.52,1643.08,3816.71,1762.85,3639.59,3004.27,2552.49,2896.15,2214.66,2646.29
sp|Q8TAP8|PPR35_HUMAN,PPP1R35,PPR35_HUMAN Protein phosphatase 1 regulatory subunit 35,86,2,66.2533,104.782,45.1842,216.748,56.4193,71.8535,127.071,82.7827,162.726,125.821
sp|Q9BQS8|FYCO1_HUMAN,FYCO1,FYCO1_HUMAN FYVE and coiled-coil domain-containing protein 1,87,33,2250.51,444.135,3546.44,3567.06,6127.3,915.19,2314.74,2376.05,5067.91,3128.48
sp|Q8WUN7|UBTD2_HUMAN,UBTD2,UBTD2_HUMAN Ubiquitin domain-containing protein 2,88,5,263.844,590.174,200.234,314.123,222.046,330.674,546.705,429.289,417.2,330.929
sp|Q9HAC8|UBTD1_HUMAN,UBTD1,UBTD1_HUMAN Ubiquitin domain-containing protein 1,88,4,53.9979,236.696,91.9458,269.098,81.3273,161.596,337.614,291.663,322.882,250.212
sp|P13807|GYS1_HUMAN,GYS1,"GYS1_HUMAN Glycogen [starch] synthase, muscle",89,25,1494.29,2396.97,3700.26,1790.19,2619.92,2637.38,5007.51,936.113,3117.55,2698.28
sp|P51970|NDUA8_HUMAN,NDUFA8,NDUA8_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,90,6,1284.34,478.476,377.789,604.138,648.444,552.898,498.697,523.79,484.366,611.852
sp|Q9GZU3|TM39B_HUMAN,TMEM39B,TM39B_HUMAN Transmembrane protein 39B,91,5,300.444,503.475,128.52,186.016,240.183,393.717,262.736,427.903,235.913,270.606
sp|Q9BR61|ACBD6_HUMAN,ACBD6,ACBD6_HUMAN Acyl-CoA-binding domain-containing protein 6,92,8,442.555,2422.5,1005.15,2222.76,998.485,1279.38,1453.69,284.481,748.3,1014.42
sp|Q96NB2|SFXN2_HUMAN,SFXN2,SFXN2_HUMAN Sideroflexin-2,93,13,6557.85,475.481,1628.9,543.128,1020.34,541.719,1307.35,463.634,577.804,1246.15
sp|Q9Y618-3|NCOR2_HUMAN,NCOR2,NCOR2_HUMAN Isoform 3 of Nuclear receptor corepressor 2,94,48,4776.4,5706.34,4729.79,5725.14,5598.93,5019.66,3230.42,4872.11,2913.27,4490.72
sp|O75376|NCOR1_HUMAN,NCOR1,NCOR1_HUMAN Nuclear receptor corepressor 1,94,43,4480.55,3089.63,3002.43,1669.94,6119.63,3430.02,3508.71,7593.51,2827.64,5393.7
tr|E7EVK1|E7EVK1_HUMAN,NCOR1,E7EVK1_HUMAN Nuclear receptor corepressor 1 (Fragment),94,1,44.8344,26.6879,27.3644,17.7485,64.6378,38.1599,33.6213,72.277,35.0438,40.2556
sp|O75326|SEM7A_HUMAN,SEMA7A,SEM7A_HUMAN Semaphorin-7A,95,9,84.9119,402.61,98.8602,123.06,106.968,315.005,139.904,2891.29,1482.4,898.504
sp|Q9NVU7|SDA1_HUMAN,SDAD1,SDA1_HUMAN Protein SDA1 homolog,96,18,2395.58,1523.21,1499.55,2080.02,1504.84,1120.95,2275.73,1278.4,1843.36,2418.45
sp|Q15063|POSTN_HUMAN,POSTN,POSTN_HUMAN Periostin,97,7,511.237,404.602,385.676,190.167,384.919,491.484,499.361,460.667,1622.62,2202.61
sp|Q8TAE8|G45IP_HUMAN,GADD45GIP1,G45IP_HUMAN Growth arrest and DNA damage-inducible proteins-interacting protein 1,98,18,2318.64,1321.2,1126.61,1372.18,1531.73,1260.03,1293.3,1540.93,1123.06,1410.07
