Protein Id,Gene Symbol,Description,Group ID,Set3 Peptides,Set3~rq_126_sn_sum,Set3~rq_127n_sn_sum,Set3~rq_127c_sn_sum,Set3~rq_128n_sn_sum,Set3~rq_128c_sn_sum,Set3~rq_129n_sn_sum,Set3~rq_129c_sn_sum,Set3~rq_130n_sn_sum,Set3~rq_130c_sn_sum,Set3~rq_131_sn_sum
sp|Q9Y2U8|MAN1_HUMAN,LEMD3,MAN1_HUMAN Inner nuclear membrane protein Man1,23,31,1694.57,4469.79,1950.24,2150.52,2848.23,2820.72,2925.04,3441.63,4529.38,3099.94
sp|Q96CC6|RHDF1_HUMAN,RHBDF1,RHDF1_HUMAN Inactive rhomboid protein 1,24,4,328.133,295.996,407.983,281.727,390.361,576.991,375.965,481.842,459.777,454.792
sp|P30044|PRDX5_HUMAN,PRDX5,"PRDX5_HUMAN Peroxiredoxin-5, mitochondrial",25,26,3560.25,2319.2,8324.4,4728.46,6387.55,8144.51,5043.32,3950.89,2584.05,3287.81
sp|Q15596|NCOA2_HUMAN,NCOA2,NCOA2_HUMAN Nuclear receptor coactivator 2,26,13,936.527,888.798,1961.9,784.085,954.556,916.224,843.425,960.746,2051.2,563.748
sp|Q9Y6Q9|NCOA3_HUMAN,NCOA3,NCOA3_HUMAN Nuclear receptor coactivator 3,26,14,1275.63,1247.82,965.953,2124.88,1131.23,766.263,1378.7,2155.23,557.044,1482.51
sp|Q15788|NCOA1_HUMAN,NCOA1,NCOA1_HUMAN Nuclear receptor coactivator 1,26,2,55.8537,87.6578,114.967,70.766,272.677,92.7065,85.8042,112.848,142.295,88.7909
sp|Q53GG5-2|PDLI3_HUMAN,PDLIM3,PDLI3_HUMAN Isoform 2 of PDZ and LIM domain protein 3,27,7,881.964,45.1099,1574.83,34.5696,770.31,21.2416,183.402,66.6509,47.0753,230.33
sp|Q9UPT8|ZC3H4_HUMAN,ZC3H4,ZC3H4_HUMAN Zinc finger CCCH domain-containing protein 4,28,35,2728.78,3191.61,3518.49,3253.36,2604.78,4643.02,3878.9,4437.37,3945.72,3437.55
sp|Q68DK7|MSL1_HUMAN,MSL1,MSL1_HUMAN Male-specific lethal 1 homolog,29,19,923.281,1803.58,1003.69,1591.28,939.141,1236.84,1261.5,1092.52,1889.41,1672.1
sp|Q96L91|EP400_HUMAN,EP400,EP400_HUMAN E1A-binding protein p400,30,27,1754.56,1829.61,1833.44,2304.38,1630.55,2118.23,1762.71,2064.74,2959.05,2390.31
sp|P52701|MSH6_HUMAN,MSH6,MSH6_HUMAN DNA mismatch repair protein Msh6,31,66,6221.16,8961.48,7783.73,13210.6,4167.17,2818.77,8359.79,6317.03,8390.18,5862.0
sp|P20585|MSH3_HUMAN,MSH3,MSH3_HUMAN DNA mismatch repair protein Msh3,31,24,2496.8,1584.35,2098.31,1519.51,1563.49,2370.15,2150.36,2587.06,2288.12,1985.72
sp|A1X283|SPD2B_HUMAN,SH3PXD2B,SPD2B_HUMAN SH3 and PX domain-containing protein 2B,32,26,4992.33,2297.48,3858.42,6264.63,345.816,2210.68,1178.35,1928.1,4174.08,1938.15
sp|Q5TCZ1|SPD2A_HUMAN,SH3PXD2A,SPD2A_HUMAN SH3 and PX domain-containing protein 2A,32,8,1367.64,272.627,585.874,699.394,722.993,209.302,330.699,330.747,553.315,597.97
sp|Q9NRL3|STRN4_HUMAN,STRN4,STRN4_HUMAN Striatin-4,33,14,1012.35,1594.95,1776.23,965.213,1751.82,1398.99,1388.7,1151.22,1050.22,1243.57
tr|H0YJZ4|H0YJZ4_HUMAN,STRN3,H0YJZ4_HUMAN Striatin-3 (Fragment),33,1,27.946,57.7819,27.1992,49.182,59.429,49.3441,49.0378,76.9507,54.9086,56.1005
sp|O43815|STRN_HUMAN,STRN,STRN_HUMAN Striatin,33,24,1529.01,1642.46,2734.35,1545.85,2439.71,2055.63,2336.94,3096.41,2050.96,2580.73
sp|Q13033-2|STRN3_HUMAN,STRN3,STRN3_HUMAN Isoform Alpha of Striatin-3,33,17,976.238,2151.95,1232.82,1468.07,1863.68,1534.59,1352.32,1769.04,1277.42,1237.05
tr|H0YJT2|H0YJT2_HUMAN,STRN3,H0YJT2_HUMAN Striatin-3 (Fragment),33,3,86.3069,160.583,118.575,90.48,250.489,158.425,109.254,163.564,117.721,120.365
sp|Q9BQE4|SELS_HUMAN,VIMP,SELS_HUMAN Selenoprotein S,34,8,586.512,775.588,790.506,993.867,1216.0,852.935,463.762,1258.13,1180.44,765.769
sp|Q8WWH5|TRUB1_HUMAN,TRUB1,TRUB1_HUMAN Probable tRNA pseudouridine synthase 1,35,8,451.625,743.839,563.756,623.116,773.381,497.299,545.542,559.397,1195.77,716.103
sp|O95602|RPA1_HUMAN,POLR1A,RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1,36,54,6688.25,6432.73,3086.37,5163.21,5139.95,2438.78,6489.33,6177.77,6492.43,6768.47
sp|O14802|RPC1_HUMAN,POLR3A,RPC1_HUMAN DNA-directed RNA polymerase III subunit RPC1,36,49,4369.87,5267.71,2817.07,5989.06,5396.53,6167.78,4161.7,3845.44,7162.33,5174.25
sp|O60518|RNBP6_HUMAN,RANBP6,RNBP6_HUMAN Ran-binding protein 6,37,24,2440.0,7365.31,2041.92,3640.37,1316.93,1525.82,2624.79,5799.26,1239.45,1326.58
sp|O00410-3|IPO5_HUMAN,IPO5,IPO5_HUMAN Isoform 3 of Importin-5,37,92,17752.5,13384.4,4124.23,8127.44,6362.8,4631.39,10888.2,5884.2,12123.1,5744.63
sp|O95625|ZBT11_HUMAN,ZBTB11,ZBT11_HUMAN Zinc finger and BTB domain-containing protein 11,38,9,551.898,640.542,668.924,905.811,775.684,524.371,876.453,758.539,1052.46,1193.84
sp|Q96D53|ADCK4_HUMAN,ADCK4,ADCK4_HUMAN Uncharacterized aarF domain-containing protein kinase 4,39,15,553.655,889.554,1688.08,544.038,1399.46,2171.19,665.62,1725.43,2374.13,1188.57
sp|Q96GQ5|CP058_HUMAN,C16orf58,CP058_HUMAN UPF0420 protein C16orf58,40,18,612.513,1476.48,2095.87,1555.7,2409.46,1885.77,2824.52,1140.1,917.939,865.056
sp|Q8N8D1|PDCD7_HUMAN,PDCD7,PDCD7_HUMAN Programmed cell death protein 7,41,5,202.765,299.518,224.805,300.808,228.266,310.438,336.809,274.583,378.154,276.818
sp|P59768|GBG2_HUMAN,GNG2,GBG2_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,42,1,204.159,130.595,3.94328,105.424,0.0,1.53396,4.18262,3.06106,56.5227,38.5033
sp|O95159|ZFPL1_HUMAN,ZFPL1,ZFPL1_HUMAN Zinc finger protein-like 1,43,18,1186.86,1323.62,1170.39,1265.31,2135.1,2044.63,1964.38,1734.23,1123.86,1696.28
sp|Q6P2E9|EDC4_HUMAN,EDC4,EDC4_HUMAN Enhancer of mRNA-decapping protein 4,45,46,3104.01,4079.6,4293.6,2607.82,2737.96,4004.7,3666.51,3996.65,3834.08,2575.02
sp|Q9UNF1|MAGD2_HUMAN,MAGED2,MAGD2_HUMAN Melanoma-associated antigen D2,46,36,4291.39,1507.34,1352.64,3706.75,9204.82,8441.54,1496.25,2245.93,2561.48,3496.63
sp|Q9Y5V3-2|MAGD1_HUMAN,MAGED1,MAGD1_HUMAN Isoform 2 of Melanoma-associated antigen D1,46,13,2388.36,777.648,631.593,2268.13,1612.92,1900.49,676.25,196.506,2125.53,1152.41
sp|Q96JG8-4|MAGD4_HUMAN,MAGED4,MAGD4_HUMAN Isoform 4 of Melanoma-associated antigen D4,46,1,95.3411,5.62469,4.30362,145.62,0.0,8.17856,22.0992,0.0,100.616,11.5243
sp|Q12816|TROP_HUMAN,TRO,TROP_HUMAN Trophinin,46,2,211.816,111.797,57.8026,238.324,264.278,382.021,62.9378,88.0004,119.996,157.104
sp|Q9NZQ3|SPN90_HUMAN,NCKIPSD,SPN90_HUMAN NCK-interacting protein with SH3 domain,47,8,906.038,1103.2,776.514,546.829,945.436,617.565,548.002,830.833,308.276,622.965
sp|Q96QE3|ATAD5_HUMAN,ATAD5,ATAD5_HUMAN ATPase family AAA domain-containing protein 5,48,14,1048.71,2294.05,1074.47,1892.41,759.933,1127.53,1098.21,1952.33,2074.56,1687.37
sp|Q9NQP4|PFD4_HUMAN,PFDN4,PFD4_HUMAN Prefoldin subunit 4,49,7,657.104,759.388,478.486,788.259,610.989,715.031,462.507,581.105,845.452,620.003
sp|O95551-2|TYDP2_HUMAN,TDP2,TYDP2_HUMAN Isoform 2 of Tyrosyl-DNA phosphodiesterase 2,50,6,470.333,451.26,537.524,475.688,295.707,223.068,335.675,323.614,569.322,578.615
sp|O15357|SHIP2_HUMAN,INPPL1,"SHIP2_HUMAN Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",51,38,3030.25,1914.72,1924.13,2173.84,6244.23,7872.24,1403.65,1952.05,2918.06,2270.79
sp|Q6UW63|KDEL1_HUMAN,KDELC1,KDEL1_HUMAN KDEL motif-containing protein 1,51,12,2954.18,1320.13,330.578,1174.63,392.278,757.815,676.642,473.799,549.671,786.807
sp|Q92835|SHIP1_HUMAN,INPP5D,"SHIP1_HUMAN Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",51,1,335.117,405.073,33.0699,157.543,28.0158,17.4404,410.756,19.6826,739.165,183.748
sp|Q9H9Y2|RPF1_HUMAN,RPF1,RPF1_HUMAN Ribosome production factor 1,52,18,1323.0,1416.62,606.723,2268.08,866.202,1276.93,2042.98,1428.06,1140.81,2499.94
sp|Q96P70|IPO9_HUMAN,IPO9,IPO9_HUMAN Importin-9,53,31,4086.98,3208.12,4451.61,3454.47,2188.38,3074.26,2696.07,2780.7,5515.28,2740.23
sp|P30260-2|CDC27_HUMAN,CDC27,CDC27_HUMAN Isoform 2 of Cell division cycle protein 27 homolog,54,14,1417.47,2414.08,1133.27,1340.43,969.91,1387.08,1542.82,1804.02,1864.78,2308.18
tr|G5EA36|G5EA36_HUMAN,CDC27,"G5EA36_HUMAN Cell division cycle 27, isoform CRA_c",54,1,58.6835,105.948,53.479,50.3434,40.5655,53.4142,59.2478,76.8425,85.4137,63.0995
sp|Q9Y2X3|NOP58_HUMAN,NOP58,NOP58_HUMAN Nucleolar protein 58,55,51,4540.45,5246.66,3427.55,5312.39,3451.27,2981.74,7272.42,4128.66,5303.69,5098.94
sp|O15042|SR140_HUMAN,U2SURP,SR140_HUMAN U2 snRNP-associated SURP motif-containing protein,56,43,3172.71,5220.33,3553.59,3920.03,2956.68,5006.39,4195.96,3725.54,4674.37,4612.38
sp|O15042-2|SR140_HUMAN,U2SURP,SR140_HUMAN Isoform 2 of U2 snRNP-associated SURP motif-containing protein,56,1,24.3485,51.5701,30.7927,31.7582,21.9335,34.0093,35.4566,35.2873,50.7579,62.3209
sp|Q9NP50|FA60A_HUMAN,FAM60A,FA60A_HUMAN Protein FAM60A,57,2,67.6984,134.414,56.5487,95.573,51.5483,116.253,100.618,103.896,179.328,136.003
sp|A7E2V4-4|ZSWM8_HUMAN,ZSWIM8,ZSWM8_HUMAN Isoform 4 of Zinc finger SWIM domain-containing protein 8,58,10,1753.24,779.207,886.78,755.653,1037.82,819.526,514.908,674.24,1117.49,1078.93
sp|Q01780|EXOSX_HUMAN,EXOSC10,EXOSX_HUMAN Exosome component 10,59,48,5277.83,5649.5,4624.99,5586.03,3095.19,3044.89,5056.52,5400.38,5464.44,6200.69
sp|P02786|TFR1_HUMAN,TFRC,TFR1_HUMAN Transferrin receptor protein 1,60,91,13878.9,9977.61,4987.24,8822.42,5759.19,8624.42,13907.3,12538.5,5988.32,9328.62
sp|Q9UP52|TFR2_HUMAN,TFR2,TFR2_HUMAN Transferrin receptor protein 2,60,3,726.796,618.846,315.749,552.194,367.969,515.806,738.532,765.935,385.626,577.185
sp|P07954|FUMH_HUMAN,FH,"FUMH_HUMAN Fumarate hydratase, mitochondrial",61,73,4993.11,9103.58,6969.29,8429.32,7695.01,12551.0,10514.4,8724.97,2415.69,7299.36
sp|Q7RTV3|ZN367_HUMAN,ZNF367,ZN367_HUMAN Zinc finger protein 367,62,1,45.2986,64.4726,72.178,71.7369,60.1698,68.6234,71.798,59.8597,53.6688,82.9043
sp|Q9Y490|TLN1_HUMAN,TLN1,TLN1_HUMAN Talin-1,63,204,32882.5,13750.3,29994.6,26399.4,5674.03,15134.6,9845.02,15135.3,15114.4,18255.1
sp|Q9Y4G6|TLN2_HUMAN,TLN2,TLN2_HUMAN Talin-2,63,79,12419.7,6741.17,6985.07,14625.4,5660.49,11273.5,3835.5,4267.38,5930.79,7563.64
sp|P18621-3|RL17_HUMAN,RPL17,RL17_HUMAN Isoform 3 of 60S ribosomal protein L17,63,46,6965.53,7227.61,6015.48,7953.3,7265.11,7455.2,5729.06,7826.99,8908.34,5571.7
sp|O94826|TOM70_HUMAN,TOMM70A,TOM70_HUMAN Mitochondrial import receptor subunit TOM70,64,61,4601.84,4034.92,5271.94,4273.16,8781.07,6437.79,8482.77,6374.26,6015.96,9478.24
sp|P13497|BMP1_HUMAN,BMP1,BMP1_HUMAN Bone morphogenetic protein 1,65,2,660.717,109.602,120.861,459.395,30.9384,210.285,335.26,239.75,169.919,464.85
sp|O95359-3|TACC2_HUMAN,TACC2,TACC2_HUMAN Isoform 3 of Transforming acidic coiled-coil-containing protein 2,66,39,1995.04,995.131,5365.1,1864.05,1614.3,1669.75,3483.4,2801.06,6585.55,5137.75
sp|O75410-2|TACC1_HUMAN,TACC1,TACC1_HUMAN Isoform 2 of Transforming acidic coiled-coil-containing protein 1,66,19,3882.28,2180.94,551.354,1553.93,1040.3,2822.84,1145.19,1849.46,328.226,2481.16
sp|Q9P0V3|SH3B4_HUMAN,SH3BP4,SH3B4_HUMAN SH3 domain-binding protein 4,67,22,1489.9,2348.7,957.634,2322.94,3165.99,1747.69,1253.96,2315.35,547.759,3585.77
sp|Q16555|DPYL2_HUMAN,DPYSL2,DPYL2_HUMAN Dihydropyrimidinase-related protein 2,68,39,19751.5,2167.07,776.107,6929.17,645.463,3181.66,1121.04,504.994,1906.98,4800.38
sp|Q14195-2|DPYL3_HUMAN,DPYSL3,DPYL3_HUMAN Isoform LCRMP-4 of Dihydropyrimidinase-related protein 3,68,25,3088.75,1459.5,2590.98,17163.0,1468.49,1194.45,1055.73,814.626,1156.56,7007.27
sp|Q14194-2|DPYL1_HUMAN,CRMP1,DPYL1_HUMAN Isoform LCRMP-1 of Dihydropyrimidinase-related protein 1,68,9,3962.49,500.21,249.126,2030.8,166.779,629.842,251.104,182.419,420.117,1234.14
sp|O14531|DPYL4_HUMAN,DPYSL4,DPYL4_HUMAN Dihydropyrimidinase-related protein 4,68,6,629.253,285.655,52.1462,1231.3,89.7142,44.2231,105.48,49.9042,245.226,256.193
sp|Q9Y6X3|SCC4_HUMAN,MAU2,SCC4_HUMAN MAU2 chromatid cohesion factor homolog,69,13,638.145,645.637,1027.46,1228.4,764.343,1049.01,983.649,976.201,852.687,822.101
sp|Q17RC7|EX3L4_HUMAN,EXOC3L4,EX3L4_HUMAN Exocyst complex component 3-like protein 4,70,1,0.0,2.2522,3.92876,1.29744,344.556,397.793,20.6059,9.90026,1.2407,7.90597
sp|Q16270|IBP7_HUMAN,IGFBP7,IBP7_HUMAN Insulin-like growth factor-binding protein 7,70,7,1740.13,137.109,54.8558,65.7685,73.7268,76.0753,443.66,76.0365,297.837,5214.39
sp|Q96P11-2|NSUN5_HUMAN,NSUN5,NSUN5_HUMAN Isoform 2 of Putative methyltransferase NSUN5,71,20,1700.7,3299.98,2783.3,2573.14,1424.67,2539.82,3421.13,2716.65,3522.92,2950.46
tr|F5H1R7|F5H1R7_HUMAN,FLJ22184,F5H1R7_HUMAN Protein FLJ22184,72,4,23.9143,263.207,59.1169,28.265,520.067,417.608,383.717,46.6675,54.2976,86.58
sp|O95238|SPDEF_HUMAN,SPDEF,SPDEF_HUMAN SAM pointed domain-containing Ets transcription factor,73,2,15.6642,25.2397,22.1299,16.8054,560.27,365.236,9.68287,106.751,24.6445,165.647
sp|Q8N4T8|CBR4_HUMAN,CBR4,CBR4_HUMAN Carbonyl reductase family member 4,74,8,134.345,627.292,225.694,281.196,761.04,334.867,3220.93,791.1,433.186,697.849
sp|P23381|SYWC_HUMAN,WARS,"SYWC_HUMAN Tryptophan--tRNA ligase, cytoplasmic",75,45,10009.5,2514.56,3931.78,3639.62,2293.01,1999.67,12471.8,2374.1,2195.28,2020.84
sp|P35221-2|CTNA1_HUMAN,CTNNA1,CTNA1_HUMAN Isoform 2 of Catenin alpha-1,76,85,6089.32,8268.04,8657.26,5018.62,7741.87,9815.31,10034.5,14538.4,7340.11,5288.08
sp|P26232|CTNA2_HUMAN,CTNNA2,CTNA2_HUMAN Catenin alpha-2,76,23,1945.7,2924.45,2746.8,1766.24,2643.0,2830.92,3377.4,4405.83,2729.83,2108.81
sp|Q96C19|EFHD2_HUMAN,EFHD2,EFHD2_HUMAN EF-hand domain-containing protein D2,77,30,2767.13,2932.03,7011.19,6045.51,2462.32,3729.62,4240.49,2661.33,2695.12,4066.63
sp|Q9BUP0|EFHD1_HUMAN,EFHD1,EFHD1_HUMAN EF-hand domain-containing protein D1,77,16,76.8408,983.691,524.653,72.4751,6880.07,6467.15,106.486,1395.21,203.1,651.044
sp|Q9GZT9|EGLN1_HUMAN,EGLN1,EGLN1_HUMAN Egl nine homolog 1,78,15,1935.85,1598.0,1013.8,976.475,1176.21,758.429,957.911,1736.08,698.12,1109.24
sp|Q9Y3B7|RM11_HUMAN,MRPL11,"RM11_HUMAN 39S ribosomal protein L11, mitochondrial",79,23,2794.13,3648.64,1890.97,3839.12,3338.55,4718.93,2704.64,3048.05,3793.18,3354.37
sp|Q8WVQ1|CANT1_HUMAN,CANT1,CANT1_HUMAN Soluble calcium-activated nucleotidase 1,80,20,1872.7,2582.4,2655.12,2328.57,7302.68,8947.88,3577.64,3530.25,1040.17,3872.76
sp|Q96T51|RUFY1_HUMAN,RUFY1,RUFY1_HUMAN RUN and FYVE domain-containing protein 1,81,26,2645.1,1891.18,2048.57,2093.08,1774.73,2603.59,2825.01,1162.22,2168.8,2226.22
sp|Q8WXA3|RUFY2_HUMAN,RUFY2,RUFY2_HUMAN RUN and FYVE domain-containing protein 2,81,12,1817.36,2659.08,760.133,657.088,1173.15,1191.74,904.828,982.016,1619.02,1413.63
sp|P54578|UBP14_HUMAN,USP14,UBP14_HUMAN Ubiquitin carboxyl-terminal hydrolase 14,81,41,3334.51,4353.69,3070.2,2688.13,5395.2,3210.78,3456.79,3009.11,3756.84,2210.22
sp|Q7L099-3|RUFY3_HUMAN,RUFY3,RUFY3_HUMAN Isoform 3 of Protein RUFY3,81,11,425.047,647.486,777.05,338.18,1482.04,2502.56,348.172,780.178,881.905,496.716
sp|Q5VSL9|STRP1_HUMAN,STRIP1,STRP1_HUMAN Striatin-interacting protein 1,82,17,1554.97,2656.07,2143.17,1390.06,2346.32,1558.36,1975.91,2278.56,1514.72,1753.85
sp|Q9ULQ0|STRP2_HUMAN,STRIP2,STRP2_HUMAN Striatin-interacting protein 2,82,4,325.399,113.568,448.391,424.824,140.566,440.713,590.568,279.108,54.5174,248.47
sp|Q9H147|TDIF1_HUMAN,DNTTIP1,TDIF1_HUMAN Deoxynucleotidyltransferase terminal-interacting protein 1,83,12,1634.91,1238.66,1539.47,2338.28,1938.74,1001.15,1422.93,2216.47,789.652,2334.76
sp|P17544-6|ATF7_HUMAN,ATF7,ATF7_HUMAN Isoform 6 of Cyclic AMP-dependent transcription factor ATF-7,84,15,1857.37,2257.06,1493.31,2720.67,1118.74,1688.31,1279.4,1122.3,6247.48,1813.43
sp|P15336|ATF2_HUMAN,ATF2,ATF2_HUMAN Cyclic AMP-dependent transcription factor ATF-2,84,7,560.018,837.882,614.148,1059.44,499.103,395.028,624.893,475.818,1431.79,673.033
sp|Q02930|CREB5_HUMAN,CREB5,CREB5_HUMAN Cyclic AMP-responsive element-binding protein 5,84,1,55.4719,58.3963,48.5353,79.0318,28.7501,35.1837,44.8636,44.3358,92.9873,27.7235
sp|O14497|ARI1A_HUMAN,ARID1A,ARI1A_HUMAN AT-rich interactive domain-containing protein 1A,85,52,4927.83,2688.89,6016.07,4068.57,1828.41,3253.61,4109.97,5387.04,6824.49,4120.45
sp|Q8NFD5-3|ARI1B_HUMAN,ARID1B,ARI1B_HUMAN Isoform 3 of AT-rich interactive domain-containing protein 1B,85,36,4171.01,1942.68,3205.34,3265.3,4389.73,4894.25,2172.74,3814.5,3514.68,3211.79
sp|Q8TAP8|PPR35_HUMAN,PPP1R35,PPR35_HUMAN Protein phosphatase 1 regulatory subunit 35,86,2,474.433,384.629,172.203,442.88,157.047,192.543,103.205,262.424,335.953,299.169
sp|Q9BQS8|FYCO1_HUMAN,FYCO1,FYCO1_HUMAN FYVE and coiled-coil domain-containing protein 1,87,39,2681.73,2594.87,2754.21,1932.9,4192.89,1549.87,2860.54,2670.51,1220.0,2960.58
sp|Q8WUN7|UBTD2_HUMAN,UBTD2,UBTD2_HUMAN Ubiquitin domain-containing protein 2,88,4,707.32,272.52,212.048,201.422,249.087,535.118,221.412,323.781,207.345,293.437
sp|Q9HAC8|UBTD1_HUMAN,UBTD1,UBTD1_HUMAN Ubiquitin domain-containing protein 1,88,2,379.884,148.113,85.1882,87.7494,115.803,141.794,65.612,134.595,106.416,144.96
sp|P13807|GYS1_HUMAN,GYS1,"GYS1_HUMAN Glycogen [starch] synthase, muscle",89,25,1790.63,2385.18,2232.89,927.807,2518.21,2904.92,1898.33,2582.27,2253.95,1576.24
sp|P51970|NDUA8_HUMAN,NDUFA8,NDUA8_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,90,9,1265.13,881.818,570.158,965.172,1296.79,1468.06,1199.42,1086.29,1043.13,1260.01
sp|Q9GZU3|TM39B_HUMAN,TMEM39B,TM39B_HUMAN Transmembrane protein 39B,91,5,526.378,381.66,389.234,377.163,173.832,414.027,275.723,375.525,412.429,383.171
sp|Q9BR61|ACBD6_HUMAN,ACBD6,ACBD6_HUMAN Acyl-CoA-binding domain-containing protein 6,92,4,1111.37,967.589,652.522,754.438,516.707,680.71,729.863,542.928,940.649,707.826
sp|Q96NB2|SFXN2_HUMAN,SFXN2,SFXN2_HUMAN Sideroflexin-2,93,12,349.763,196.368,340.699,244.249,2134.67,2732.74,325.519,382.407,578.262,1051.34
sp|Q9Y618-3|NCOR2_HUMAN,NCOR2,NCOR2_HUMAN Isoform 3 of Nuclear receptor corepressor 2,94,47,2406.07,4447.33,4518.4,5429.84,3230.04,4057.66,3264.89,5302.4,12452.9,4635.53
sp|O75376|NCOR1_HUMAN,NCOR1,NCOR1_HUMAN Nuclear receptor corepressor 1,94,37,2967.07,1969.03,2479.48,2864.94,3360.03,2679.84,3974.36,3187.03,3419.89,3886.53
sp|O75326|SEM7A_HUMAN,SEMA7A,SEM7A_HUMAN Semaphorin-7A,95,3,63.8753,397.456,48.5174,877.126,94.3295,75.7011,697.869,281.714,129.899,1099.17
